NUM,W1,W2,W3,W4,W5,L1,L2,L3,L4,L5,S21M,S21P,S21M.1,S21P.1,S21M.2,S21P.2,S21M.3,S21P.3,S21M.4,S21P.4,S21M.5,S21P.5,S21M.6,S21P.6,S21M.7,S21P.7,S21M.8,S21P.8,S21M.9,S21P.9,S21M.10,S21P.10,S21M.11,S21P.11,S21M.12,S21P.12,S21M.13,S21P.13,S21M.14,S21P.14,S21M.15,S21P.15,W6,L6
11,6817.68131587511,302.718798416887,6814.41312390053,290.365183615746,6801.85987918737,4.39920071833797,9.52588865964081,6.59938099574598,5.66332737873253,2.85533864502896,0.989,-0.142,0.754,-0.652,0.275,-0.956,-0.307,-0.939,-0.779,-0.574,-0.933,0.019,-0.631,0.587,-0.017,0.679,0.268,0.342,0.24,0.108,0.166,0.014,0.112,-0.018,0.077,-0.029,0.056,-0.031,0.042,-0.031,0.034,-0.031,0.0,0.0
12,6803.79730975465,290.067233387074,6804.67599447299,306.053388292002,6807.2910283779,4.71841688841954,7.85625133690433,10.0335588494341,11.7493530684559,2.02849783745141,0.983,-0.174,0.636,-0.764,-0.02,-0.979,-0.657,-0.696,-0.924,-0.004,-0.458,0.618,0.098,0.468,0.192,0.195,0.155,0.067,0.113,0.014,0.084,-0.008,0.065,-0.019,0.053,-0.025,0.045,-0.03,0.041,-0.035,0.04,-0.042,0.0,0.0
13,6812.62461883161,309.892230350239,6804.15897207349,309.196458929904,6811.02250970054,1.31314616327358,12.0007290067077,9.78043218344675,6.79968957482611,4.8311369035992,0.985,-0.166,0.663,-0.738,0.047,-0.967,-0.552,-0.744,-0.869,-0.19,-0.655,0.463,-0.061,0.563,0.169,0.296,0.171,0.125,0.136,0.047,0.105,0.01,0.084,-0.008,0.07,-0.019,0.061,-0.027,0.056,-0.035,0.055,-0.042,0.0,0.0
14,6816.49944513742,298.413246824142,6805.69711077139,293.863100552881,6807.70745738762,1.95607861261425,13.4466441601565,13.2525152667877,10.5558806377845,2.05006717023274,0.979,-0.196,0.546,-0.831,-0.25,-0.951,-0.827,-0.33,-0.548,0.334,-0.119,0.382,0.055,0.247,0.099,0.143,0.103,0.079,0.099,0.041,0.094,0.017,0.095,-0.002,0.103,-0.022,0.125,-0.053,0.177,-0.135,0.23,-0.383,0.0,0.0
15,6801.35650389261,307.577795644652,6808.84555809336,298.616028280933,6808.50608527252,2.26076616495399,9.24975784946332,11.5815448701896,14.5325999794056,3.12769730126935,0.979,-0.192,0.562,-0.82,-0.203,-0.964,-0.829,-0.428,-0.663,0.341,-0.126,0.463,0.097,0.275,0.132,0.134,0.118,0.059,0.099,0.02,0.085,-0.002,0.077,-0.017,0.074,-0.03,0.079,-0.049,0.093,-0.085,0.112,-0.15,0.0,0.0
16,6808.17970029818,305.137295927792,6813.31784513234,310.02650275332,6803.77810571254,3.79808087791565,9.43257171949586,14.4062451272981,14.3669543922551,3.71459357959735,0.975,-0.215,0.457,-0.881,-0.41,-0.882,-0.886,-0.123,-0.405,0.533,0.09,0.38,0.164,0.148,0.131,0.043,0.097,0.001,0.075,-0.017,0.063,-0.029,0.059,-0.04,0.062,-0.06,0.079,-0.114,0.027,-0.461,-0.386,0.195,0.0,0.0
17,6803.19877568517,295.662468318439,6812.27608914438,306.43350951198,6812.48707786943,1.3187983506455,10.0956471795642,6.56141125287101,8.86993692305625,3.28447183829794,0.988,-0.145,0.742,-0.66,0.253,-0.951,-0.322,-0.924,-0.811,-0.552,-0.938,0.135,-0.435,0.621,0.036,0.491,0.161,0.262,0.158,0.127,0.131,0.058,0.105,0.022,0.086,0.002,0.071,-0.009,0.061,-0.017,0.056,-0.021,0.0,0.0
18,6811.83694100583,307.51652471662,6804.59242129863,305.313246822916,6803.10596494129,1.59394662833344,14.2601887620607,10.1803002198328,8.09130676790647,3.87781191334489,0.982,-0.18,0.608,-0.783,-0.083,-0.965,-0.699,-0.605,-0.835,0.104,-0.342,0.543,0.069,0.397,0.157,0.192,0.142,0.081,0.116,0.028,0.094,0.001,0.08,-0.015,0.071,-0.027,0.068,-0.04,0.068,-0.058,0.071,-0.082,0.0,0.0
19,6816.51246267532,298.54154467827,6803.37237426793,303.195250891337,6807.24309613205,3.71309966616212,11.8486047795752,13.7607354452435,5.76332717191732,4.88865621336028,0.979,-0.192,0.558,-0.813,-0.179,-0.942,-0.76,-0.489,-0.788,0.225,-0.24,0.615,0.194,0.373,0.215,0.115,0.15,0.014,0.103,-0.02,0.074,-0.032,0.058,-0.039,0.05,-0.046,0.048,-0.058,0.052,-0.087,0.062,-0.152,0.0,0.0
20,6814.80742698726,291.889814248742,6818.97882979547,310.054174044199,6805.09651420203,4.89379553994706,13.0768839483125,13.1441503522926,7.1006866176846,3.39099189080835,0.978,-0.199,0.534,-0.837,-0.257,-0.945,-0.848,-0.37,-0.661,0.401,-0.056,0.522,0.178,0.254,0.167,0.082,0.121,0.012,0.087,-0.015,0.066,-0.026,0.054,-0.034,0.048,-0.042,0.048,-0.055,0.055,-0.087,0.066,-0.156,0.0,0.0
21,6807.76666130843,302.478545903261,6804.63412884991,300.367218579841,6813.83335686047,3.95491741354529,9.21588026103146,14.4644542690052,9.29994024882019,4.61937406226694,0.978,-0.199,0.532,-0.833,-0.241,-0.949,-0.866,-0.411,-0.726,0.451,0.001,0.574,0.215,0.229,0.17,0.058,0.115,-0.001,0.08,-0.021,0.059,-0.029,0.048,-0.035,0.044,-0.043,0.046,-0.059,0.059,-0.11,0.052,-0.351,0.0,0.0
