NUM,W1,W2,W3,W4,W5,W6,L1,L2,L3,L4,L5,L6,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P,S21M,S21P
29,6801.06805983796,292.987042138754,6803.30013658603,296.538564607745,6814.62853160652,298.463364489361,4.83884783648926,5.52839349804771,11.1240865256744,10.9983348333865,6.04594009810073,2.32477382028067,0.978,-0.198,0.538,-0.831,-0.224,-0.949,-0.83,-0.46,-0.842,0.327,-0.185,0.791,0.428,0.392,0.311,-0.036,0.13,-0.104,0.048,-0.086,0.015,-0.063,0.0001692,-0.047,-0.007,-0.037,-0.011,-0.031,-0.015,-0.028,-0.018,-0.028
30,6813.81465159615,292.324679294829,6804.06647837027,300.994262299608,6805.54488342877,295.87606477953,1.13605988438896,4.37561232146614,13.1633728336608,14.2612859007359,6.79481742108974,3.29590766424206,0.976,-0.207,0.493,-0.861,-0.334,-0.909,-0.857,-0.257,-0.564,0.448,-0.013,0.487,0.188,0.242,0.185,0.074,0.139,-0.005,0.098,-0.038,0.069,-0.054,0.049,-0.063,0.035,-0.075,0.022,-0.096,-0.003,-0.148,-0.086,-0.262
31,6811.47040285831,294.069938878174,6808.02610958298,310.069296129073,6814.63988141533,303.763465559588,1.42560716129157,4.74242300156431,8.62204685918545,11.3884971431962,7.59905404472642,4.38413939104008,0.981,-0.184,0.597,-0.796,-0.11,-0.985,-0.772,-0.614,-0.94,0.187,-0.313,0.747,0.265,0.46,0.29,0.107,0.183,-0.029,0.101,-0.061,0.054,-0.061,0.027,-0.054,0.012,-0.047,0.003,-0.041,-0.003,-0.038,-0.007,-0.037
32,6816.65701576869,300.286471029543,6809.5820354608,294.352343993468,6804.96357524347,299.699846628734,2.00800453856044,7.01044731010861,12.4434749997346,11.8512029444684,9.39871589126469,3.08862310218272,0.973,-0.22,0.44,-0.889,-0.431,-0.89,-0.969,-0.119,-0.424,0.709,0.254,0.422,0.25,0.069,0.141,-0.038,0.073,-0.056,0.037,-0.052,0.017,-0.046,0.006,-0.042,-0.002,-0.04,-0.009,-0.043,-0.02,-0.051,-0.036,-0.067
33,6801.96467625127,305.474491711232,6810.35534134084,290.534526782866,6814.45537924332,307.233867870712,1.8899878063399,6.6161099970472,6.51442535001975,7.78281458058365,7.90616484712649,3.90006605963741,0.984,-0.169,0.657,-0.748,0.033,-0.991,-0.611,-0.771,-0.958,-0.167,-0.793,0.556,-0.014,0.919,0.544,0.319,0.317,-0.078,0.13,-0.116,0.049,-0.09,0.016,-0.064,0.002,-0.046,-0.005,-0.035,-0.008,-0.027,-0.009,-0.023
34,6809.61224124265,308.467433630804,6801.30893370677,292.323870555703,6805.49790001098,306.827292474348,2.12132988103161,6.01498931182167,6.93496211750087,9.34933673699041,8.02217009657558,4.82878253133673,0.982,-0.18,0.616,-0.783,-0.066,-0.991,-0.726,-0.674,-0.981,0.054,-0.546,0.767,0.306,0.705,0.448,0.092,0.213,-0.107,0.08,-0.105,0.026,-0.076,0.004,-0.053,-0.004,-0.038,-0.008,-0.029,-0.01,-0.023,-0.011,-0.02
35,6812.70869617524,306.400650932453,6806.8985783982,294.375892472587,6818.9084962049,307.190448955721,4.20822353849621,9.75755124934814,13.2707155067702,9.89021904952273,4.64038365758144,1.15332851533854,0.976,-0.207,0.497,-0.859,-0.322,-0.931,-0.916,-0.303,-0.647,0.565,0.117,0.567,0.27,0.171,0.181,0.003,0.105,-0.042,0.061,-0.05,0.036,-0.049,0.021,-0.047,0.012,-0.047,0.004,-0.053,-0.006,-0.068,-0.022,-0.098
36,6803.50204964069,291.707179711242,6807.03192589382,302.610896144368,6815.79044585615,301.692611987351,1.68210192355367,6.62126570745087,12.7396459383768,11.4643986745424,5.24665035030343,2.9645108088008,0.979,-0.197,0.543,-0.832,-0.232,-0.951,-0.83,-0.427,-0.752,0.345,-0.141,0.623,0.238,0.349,0.248,0.083,0.164,-0.029,0.096,-0.06,0.055,-0.063,0.03,-0.06,0.015,-0.058,0.004,-0.058,-0.007,-0.065,-0.019,-0.079
37,6810.75193464369,295.508433578472,6804.05818147731,301.543546564294,6810.40072238409,291.158674709973,4.31707319977101,5.09891634428643,6.8282778051203,11.0076883515029,4.8524819562208,3.83131243572569,0.983,-0.175,0.634,-0.765,-0.017,-0.977,-0.634,-0.712,-0.929,-0.111,-0.732,0.559,-0.047,0.889,0.617,0.409,0.387,-0.16,0.109,-0.177,0.018,-0.112,-0.008,-0.068,-0.015,-0.044,-0.016,-0.03,-0.016,-0.022,-0.015,-0.018
38,6804.72127128617,294.204041071805,6812.49625696405,304.804557076048,6805.69635694031,310.577136099728,1.25628747463657,5.91939390863049,13.0410660832369,10.2493787361302,7.37638035730009,4.13873559962417,0.978,-0.203,0.518,-0.845,-0.271,-0.937,-0.869,-0.391,-0.767,0.46,0.024,0.678,0.311,0.234,0.217,0.007,0.121,-0.051,0.066,-0.059,0.035,-0.055,0.018,-0.05,0.007,-0.047,-0.001,-0.048,-0.01,-0.053,-0.021,-0.064
39,6810.89997164369,302.355959409687,6809.29145656284,294.249028062514,6805.72229325299,302.839635194864,2.1578751770714,4.78246586135996,11.6648079174748,11.9626778005492,8.44176356563422,4.09826408838048,0.976,-0.209,0.492,-0.861,-0.327,-0.926,-0.914,-0.297,-0.648,0.556,0.097,0.591,0.298,0.194,0.209,-0.011,0.112,-0.065,0.053,-0.068,0.023,-0.059,0.006,-0.049,-0.003,-0.043,-0.01,-0.041,-0.018,-0.042,-0.027,-0.047
