NUM,W1,W2,W3,W4,L1,L2,L3,L4,S21M,S21P,S21M.1,S21P.1,S21M.2,S21P.2,S21M.3,S21P.3,S21M.4,S21P.4,S21M.5,S21P.5,S21M.6,S21P.6,S21M.7,S21P.7,S21M.8,S21P.8,S21M.9,S21P.9,S21M.10,S21P.10,S21M.11,S21P.11,S21M.12,S21P.12,S21M.13,S21P.13,S21M.14,S21P.14,S21M.15,S21P.15,W5,W6,L5,L6
4233,6816.62039911225,307.044091684593,6802.18784719139,299.607794023107,6.96456319532471,9.1019359247215,7.74616390070461,2.01962485511272,0.991,-0.126,0.804,-0.584,0.419,-0.899,-0.098,-0.988,-0.624,-0.741,-0.827,-0.18,-0.588,0.24,-0.292,0.335,-0.115,0.293,-0.025,0.232,0.019,0.181,0.041,0.142,0.053,0.115,0.061,0.094,0.067,0.08,0.071,0.071,0.0,0.0,0.0,0.0
4234,6810.99692488055,304.750642021464,6809.2579914361,304.624639852581,5.24012774908876,8.76296147088874,7.1720779623336,2.81281968359654,0.992,-0.117,0.831,-0.55,0.488,-0.867,0.022,-0.994,-0.482,-0.86,-0.827,-0.417,-0.762,0.112,-0.441,0.358,-0.184,0.357,-0.048,0.285,0.016,0.215,0.044,0.163,0.057,0.125,0.062,0.099,0.065,0.08,0.067,0.069,0.0,0.0,0.0,0.0
4235,6808.72588612199,298.711968626316,6805.60701683893,300.199112013217,2.06371262421151,6.26149074631391,9.82483903047529,6.31370142556341,0.992,-0.119,0.824,-0.56,0.463,-0.875,-0.02,-0.973,-0.49,-0.79,-0.753,-0.37,-0.693,0.063,-0.449,0.292,-0.225,0.33,-0.084,0.289,-0.008,0.234,0.033,0.185,0.054,0.149,0.066,0.121,0.074,0.102,0.08,0.091,0.0,0.0,0.0,0.0
4236,6804.03501278761,303.122511944085,6815.44792496553,306.281434032009,3.85487778605467,6.09392632945448,11.1655414741168,2.61472928162695,0.992,-0.118,0.824,-0.547,0.483,-0.845,0.046,-0.956,-0.405,-0.845,-0.74,-0.491,-0.774,-0.019,-0.537,0.288,-0.279,0.361,-0.112,0.324,-0.021,0.266,0.028,0.214,0.055,0.175,0.072,0.146,0.085,0.125,0.095,0.114,0.0,0.0,0.0,0.0
4237,6811.87249220346,301.87699646125,6807.71555681274,300.039553502732,3.67290889536326,14.4548523438425,5.26196981797709,4.95462855147699,0.989,-0.134,0.775,-0.613,0.348,-0.907,-0.171,-0.936,-0.637,-0.666,-0.827,-0.142,-0.597,0.301,-0.261,0.402,-0.061,0.333,0.027,0.248,0.064,0.184,0.08,0.141,0.09,0.112,0.099,0.093,0.113,0.081,0.13,0.075,0.0,0.0,0.0,0.0
4238,6805.20301725122,297.853483880016,6813.75940897103,298.922647603529,3.76830425624997,9.36066223605778,8.56844715057013,4.3745295468519,0.991,-0.126,0.803,-0.59,0.407,-0.908,-0.118,-0.985,-0.632,-0.734,-0.852,-0.177,-0.611,0.283,-0.273,0.381,-0.077,0.314,0.01,0.232,0.045,0.169,0.059,0.126,0.064,0.097,0.066,0.076,0.068,0.063,0.07,0.055,0.0,0.0,0.0,0.0
4239,6812.24625980226,308.885255393429,6818.79017209686,299.325926517792,5.51761841445719,7.27343182458225,7.80406418248762,5.11506024855925,0.991,-0.125,0.808,-0.582,0.424,-0.892,-0.065,-0.979,-0.561,-0.811,-0.924,-0.328,-0.786,0.323,-0.293,0.51,-0.023,0.375,0.062,0.242,0.082,0.157,0.081,0.105,0.076,0.074,0.07,0.053,0.066,0.039,0.064,0.032,0.0,0.0,0.0,0.0
4240,6810.11615260866,298.560760158772,6818.09939749932,308.08467879562,3.72914354283143,13.3725106070457,6.49067897488098,4.88627130638316,0.989,-0.135,0.775,-0.62,0.338,-0.924,-0.21,-0.947,-0.694,-0.624,-0.814,-0.049,-0.516,0.332,-0.205,0.373,-0.041,0.295,0.029,0.217,0.058,0.161,0.07,0.122,0.077,0.097,0.083,0.08,0.091,0.069,0.1,0.063,0.0,0.0,0.0,0.0
4241,6809.09688836018,301.418069551261,6802.96459295942,294.012400314626,5.36330610465549,14.1187515718451,12.4594485113216,4.19962749899885,0.984,-0.171,0.645,-0.758,-0.023,-0.985,-0.68,-0.616,-0.703,0.072,-0.327,0.321,-0.094,0.28,0.003,0.205,0.041,0.149,0.058,0.113,0.069,0.091,0.08,0.077,0.097,0.07,0.129,0.066,0.199,0.059,0.325,0.023,0.0,0.0,0.0,0.0
4242,6818.99507210299,295.838970025162,6816.42012073102,298.200819682735,5.64332046830367,13.9945164997766,7.15732469819659,3.64433053958111,0.988,-0.145,0.744,-0.661,0.24,-0.957,-0.366,-0.886,-0.768,-0.408,-0.674,0.137,-0.344,0.34,-0.117,0.312,-0.009,0.238,0.038,0.177,0.058,0.135,0.069,0.106,0.077,0.087,0.087,0.075,0.102,0.068,0.121,0.064,0.0,0.0,0.0,0.0
